scheme,view,features,model,control,folds,balanced_accuracy,balanced_accuracy_sd,above_chance,macro_f1,ece,nll,chance,n_test
loso_allen,5class,bandpower_clean,constant,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09116889593202156,2.0528077567319305,0.3416666666666667,50200
loso_allen,5class,bandpower_clean,logreg,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09509551264762141,2.054465603427729,0.3416666666666667,50200
loso_allen,5class,bandpower_full,constant,model,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09116889593202156,2.0528077567319305,0.3416666666666667,50200
loso_allen,5class,bandpower_full,constant,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09116889593202156,2.0528077567319305,0.3416666666666667,50200
loso_allen,5class,bandpower_full,logreg,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.1009000234304924,2.055830441563341,0.3416666666666667,50200
loso_allen,5class,geometry,constant,model,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09116889593202156,2.0528077567319305,0.3416666666666667,50200
loso_allen,5class,geometry,constant,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.09116889593202156,2.0528077567319305,0.3416666666666667,50200
loso_allen,5class,geometry,logreg,permuted,10,0.3416666666666667,0.09170874455121766,0.0,0.22463542854782492,0.11053602236176245,2.054564671124683,0.3416666666666667,50200
loso_ibl,4class,geometry,logreg,model,7,0.8168597577839015,0.14354517801467315,0.5192407101648538,0.7998078587266014,0.11109398098386984,1.0383760621015088,0.29761904761904756,132600
loso_ibl,4class,amplitude,logreg,model,7,0.56047912936402,0.10123260416134526,0.26286008174497233,0.5282440195473614,0.11923830133737583,1.0204040357416844,0.29761904761904756,132600
loso_ibl,4class,bandpower_full,logreg,model,7,0.440544776361275,0.11254010209022909,0.14292572874222742,0.42689891549823217,0.08076252383066271,1.1584183781933695,0.29761904761904756,132600
loso_ibl,4class,bandpower_clean,logreg,model,7,0.3991343528737623,0.08720739243643026,0.10151530525471471,0.3873237951232405,0.06309471437424048,1.233203824262479,0.29761904761904756,132600
loso_ibl,4class,amplitude,logreg,permuted,7,0.3220019342359768,0.058622465646217106,0.024382886616929174,0.17734171462992357,0.04919371696086794,1.2667493973811383,0.29761904761904756,132600
loso_ibl,4class,amplitude,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.14634633207410547,0.06018305044960174,1.2655112689933699,0.29761904761904756,132600
loso_ibl,4class,amplitude,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.14634633207410547,0.06018305044960174,1.2655112689933699,0.29761904761904756,132600
loso_ibl,4class,bandpower_clean,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.14634633207410547,0.06018305044960174,1.2655112689933699,0.29761904761904756,132600
loso_ibl,4class,bandpower_clean,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.14634633207410547,0.06018305044960174,1.2655112689933699,0.29761904761904756,132600
loso_ibl,4class,bandpower_full,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.14634633207410547,0.06018305044960174,1.2655112689933699,0.29761904761904756,132600
loso_ibl,4class,bandpower_full,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.14634633207410547,0.06018305044960174,1.2655112689933699,0.29761904761904756,132600
loso_ibl,4class,geometry,constant,model,7,0.29761904761904756,0.0445435403187374,0.0,0.14634633207410547,0.06018305044960174,1.2655112689933699,0.29761904761904756,132600
loso_ibl,4class,geometry,constant,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.14634633207410547,0.06018305044960174,1.2655112689933699,0.29761904761904756,132600
loso_ibl,4class,geometry,logreg,permuted,7,0.29761904761904756,0.0445435403187374,0.0,0.15857080376068175,0.04400934086658531,1.2675533419354827,0.29761904761904756,132600
loso_ibl,4class,bandpower_full,logreg,permuted,7,0.29111736667587734,0.05479451581518044,-0.006501680943170306,0.1557765981288473,0.05263683245414125,1.2653575072886716,0.29761904761904756,132600
loso_ibl,4class,bandpower_clean,logreg,permuted,7,0.2865607442203187,0.06378738025794686,-0.01105830339872893,0.15149339463642117,0.059547358961359965,1.2649752904084868,0.29761904761904756,132600
