key,group,channel,depth_um,temporal,spatial,label
3638d102_probe01::207,3638d102_probe01,207,2080.0,3,3,3
3638d102_probe01::208,3638d102_probe01,208,2100.0,3,3,3
3638d102_probe01::209,3638d102_probe01,209,2100.0,3,3,3
3638d102_probe01::210,3638d102_probe01,210,2120.0,3,3,3
3638d102_probe01::211,3638d102_probe01,211,2120.0,3,3,3
3638d102_probe01::212,3638d102_probe01,212,2140.0,3,3,3
3638d102_probe01::213,3638d102_probe01,213,2140.0,3,3,3
3638d102_probe01::214,3638d102_probe01,214,2160.0,3,3,3
3638d102_probe01::215,3638d102_probe01,215,2160.0,3,3,3
3638d102_probe01::216,3638d102_probe01,216,2180.0,3,3,3
3638d102_probe01::217,3638d102_probe01,217,2180.0,3,3,3
3638d102_probe01::218,3638d102_probe01,218,2200.0,3,3,3
3638d102_probe01::219,3638d102_probe01,219,2200.0,3,3,3
3638d102_probe01::220,3638d102_probe01,220,2220.0,3,3,3
3638d102_probe01::221,3638d102_probe01,221,2220.0,3,3,3
3638d102_probe01::222,3638d102_probe01,222,2240.0,3,3,3
3638d102_probe01::223,3638d102_probe01,223,2240.0,3,3,3
3638d102_probe01::224,3638d102_probe01,224,2260.0,3,3,3
3638d102_probe01::225,3638d102_probe01,225,2260.0,3,3,3
3638d102_probe01::226,3638d102_probe01,226,2280.0,3,3,3
3638d102_probe01::227,3638d102_probe01,227,2280.0,3,3,3
3638d102_probe01::228,3638d102_probe01,228,2300.0,3,3,3
3638d102_probe01::229,3638d102_probe01,229,2300.0,3,3,3
3638d102_probe01::230,3638d102_probe01,230,2320.0,3,3,3
3638d102_probe01::231,3638d102_probe01,231,2320.0,3,3,3
3638d102_probe01::232,3638d102_probe01,232,2340.0,3,3,3
3638d102_probe01::233,3638d102_probe01,233,2340.0,3,3,3
3638d102_probe01::234,3638d102_probe01,234,2360.0,3,3,0
3638d102_probe01::235,3638d102_probe01,235,2360.0,0,0,0
3638d102_probe01::236,3638d102_probe01,236,2380.0,0,0,0
